reason_for_recall,reason_lower,reason_cat,n
"Although ingredient statement lists """"Tamari"""", Label lacks statement, """"Contains Soy.""""","although ingredient statement lists """"tamari"""", label lacks statement, """"contains soy.""""",Undeclared allergen,8
Routine environmental test samples were positive for Listeria monocytogenes on two processing machines.,routine environmental test samples were positive for listeria monocytogenes on two processing machines.,Bacterial pathogen contamination,8
Foreign matter (blue fiber) detected in product.,foreign matter (blue fiber) detected in product.,Other / Unspecified,8
Undeclared allergens: Butter fails to disclose the presence of milk and ice cream sandwiches fail to disclose the presence of wheat.,undeclared allergens: butter fails to disclose the presence of milk and ice cream sandwiches fail to disclose the presence of wheat.,Undeclared allergen,8
Finished product labeling did not declare wheat.,finished product labeling did not declare wheat.,Undeclared allergen,7
Products are labeled gluten-free. A batch of flour from the raw material supplier tested positive for gluten so the firm immediately initiated a recall of the affected products.,products are labeled gluten-free. a batch of flour from the raw material supplier tested positive for gluten so the firm immediately initiated a recall of the affected products.,Undeclared allergen,7
Undeclared Wheat,undeclared wheat,Undeclared allergen,7
Undeclared sulfites.,undeclared sulfites.,Undeclared allergen,7
Positive environmental samples analyzed for Listeria and Salmonella species.,positive environmental samples analyzed for listeria and salmonella species.,Bacterial pathogen contamination,7
Possible contamination with salmonella,possible contamination with salmonella,Bacterial pathogen contamination,7
Undeclared soy on product label,undeclared soy on product label,Undeclared allergen,7
Products contain undeclared soy lecithin,products contain undeclared soy lecithin,Undeclared allergen,7
undeclared milk,undeclared milk,Undeclared allergen,7
Undeclared peanut allergen,undeclared peanut allergen,Undeclared allergen,7
Product may be contaminated with foreign object (debris from packaging).,product may be contaminated with foreign object (debris from packaging).,Other / Unspecified,7
Italian Vegetable Blend product is recalled due to potential to be contaminated with Listeria monocytogenes.,italian vegetable blend product is recalled due to potential to be contaminated with listeria monocytogenes.,Bacterial pathogen contamination,7
Label does not include the common name for the allergens milk and wheat,label does not include the common name for the allergens milk and wheat,Undeclared allergen,7
Potential to contain undeclared milk,potential to contain undeclared milk,Undeclared allergen,7
Potential contamination with E. coli O121:H19,potential contamination with e. coli o121:h19,Bacterial pathogen contamination,7
Falcon Trading Company Inc. used peanut butter in their products that is now under recall by Sunland Inc. due to potential Salmonella contamination.,falcon trading company inc. used peanut butter in their products that is now under recall by sunland inc. due to potential salmonella contamination.,Undeclared allergen,7
Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling.,product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling.,Undeclared allergen,7
Protein supplement fails to declare allergen: milk,protein supplement fails to declare allergen: milk,Undeclared allergen,7
Chocolate products contain undeclared milk,chocolate products contain undeclared milk,Undeclared allergen,7
"Los Chileros De Nuevo Mexico is conducting a field action for Blue Corn Waffle & Pancake Mix (BWPB), Sopaipilla Mix (SOPP), Santa Fe Chile Seasoning (SFCS), Green Chile Blue Cornbread (GCBB), Cream of Green Chile Chicken Soup (GCCS), Green Chile Stew with Tortilla Mix (GCSB) and Carne Adovada with Sopaipilla Mix (CADB) due to undeclared wheat.","los chileros de nuevo mexico is conducting a field action for blue corn waffle & pancake mix (bwpb), sopaipilla mix (sopp), santa fe chile seasoning (sfcs), green chile blue cornbread (gcbb), cream of green chile chicken soup (gccs), green chile stew with tortilla mix (gcsb) and carne adovada with sopaipilla mix (cadb) due to undeclared wheat.",Undeclared allergen,7
Cantaloupe containing products may be contaminated with Salmonella.,cantaloupe containing products may be contaminated with salmonella.,Bacterial pathogen contamination,7
"The firm inititated the recall of Crunch¿ thinkThin nutrition bars which may contain blanched roasted peanuts supplied by Sunland , Inc and have the potential to be contaminated with Salmonella.","the firm inititated the recall of crunch¿ thinkthin nutrition bars which may contain blanched roasted peanuts supplied by sunland , inc and have the potential to be contaminated with salmonella.",Undeclared allergen,7
